feature,reverse_confidence,code_status,build_status,hardware_status,rollback_status,upstream_readiness,implemented,wired,default_enabled,hardware_validated,stock_exact,current_review_scope,source_callsite,remaining
ptz_backend_E6,EXACT_STOCK_COORDINATE_AND_PWM_SEQUENCE,OPENIPC_CONTROLLER_AND_GPIO_MOTORS_ADAPTER_ACTIVE,STRICT_STATIC_ARM_PASS,CONTINUOUS_IOCTL_AND_FINITE_STOCK_STEP_COMMANDS_COMPLETE_PHYSICAL_CONFIRMATION_PENDING,dirty-state invalidation plus PWM disable and GPIO-low cleanup,HARDWARE_PWM_PASS_PRODUCT_CALIBRATION_PENDING,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
divinus_frontend,EXTERNAL_ADAPTER_CONTRACT,AGENT3_V2_CANDIDATE,HOST_TESTED,TARGET_NOT_VALIDATED,lab fallback,LOW,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
majestic_frontend,UNPROVEN_BACKEND_ABI,NOT_IMPLEMENTED,N/A,NOT_VALIDATED,N/A,UNKNOWN,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
human_detection_adapter,FUTURE_REVERSE,NOT_IMPLEMENTED,N/A,NOT_VALIDATED,N/A,FUTURE,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
bgm_hardware_motion,EXACT_TARGET_IOCTL_ABI,REFERENCE_ABI_AND_SAFE_PROBE,HOST_PASS_ARM_BUILD_PASS,TARGET_DEVICE_QUERY_PASS_ENGINE_PENDING,no mutating command exposed by probe,MEDIUM,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
video_output_scaling,EXACT_STOCK_OUTPUT_GEOMETRIES,ACTIVE_360P_720P_1080P_STARTUP_PRESETS,STRICT_ARM_PASS,TARGET_720P_PASS_360P_1080P_AB_PENDING,restart owner with previous preset,HIGH,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
video_orientation,EXACT_SENSOR_VI_CFA_CONTRACT,PROVED_MIRROR_FLIP_180_BOUNDARY,STRICT_ARM_PASS,EXISTING_SENSOR_ORIENTATION_EVIDENCE,restore orientation and CFA together,MEDIUM,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
video_crop_rotate90,UNPROVEN_FH8626_ABI,NOT_EXPOSED,N/A,NOT_VALIDATED,no mutation,FUTURE,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
startup_output_geometry,SEE_SCOPED_STOCK_EXACT,YES_STARTUP_CH0,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,677f821d_1080P_SURFACE_SPS_DECODE_PASS_COEFF_READBACK_OPEN,Coefficient readback0/512 matches requires clock/readability investigation; image/DDR/all-presets acceptance and full cadence/RC remain; see HARDWARE_GEOMETRY_677F821D_20260905.md,NOT_CERTIFIED,YES_STARTUP_CH0,YES,720P_NATIVE_360P_1080P_OPT_IN,677f821d_1080P_SURFACE_SPS_DECODE_PASS_COEFF_READBACK_OPEN,BOUNDED_GEOMETRY_NOT_FULL_MODE,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:setup->geometry_setup,Coefficient readback0/512 matches requires clock/readability investigation; image/DDR/all-presets acceptance and full cadence/RC remain; see HARDWARE_GEOMETRY_677F821D_20260905.md
packaged_owner_v4_3_0,SEE_SCOPED_STOCK_EXACT,PARTIAL,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,677f821d_TMP_1080P_READY_DECODE_PASS_IMAGE_ACCEPTANCE_PENDING,Stage1 incomplete; no global stock-parity claim,NOT_CERTIFIED,PARTIAL,YES,YES,677f821d_TMP_1080P_READY_DECODE_PASS_IMAGE_ACCEPTANCE_PENDING,NO,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:setup->isp_regs_720p,Stage1 incomplete; no global stock-parity claim
gpio5_sensor_bootstrap,SEE_SCOPED_STOCK_EXACT,NOT_IN_OWNER,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,COLD_BOOT_OWNER_SEQUENCE_NOT_REVALIDATED,External board bootstrap dependency; owner only selects GPIO4/14,NOT_CERTIFIED,NOT_IN_OWNER,NO,NO,COLD_BOOT_OWNER_SEQUENCE_NOT_REVALIDATED,UNPROVEN,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:setup->prepare_sensor_target,External board bootstrap dependency; owner only selects GPIO4/14
board_wide_default,SEE_SCOPED_STOCK_EXACT,YES,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,HISTORICAL_STARTUP_PASS_NOT_FULL_PARITY,Two sensor preparation then wide; GPIO5 external dependency,NOT_CERTIFIED,YES,YES,YES,HISTORICAL_STARTUP_PASS_NOT_FULL_PARITY,BOUNDED,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:setup->fh8626_dualsensor_select,Two sensor preparation then wide; GPIO5 external dependency
dual_sensor_switch,SEE_SCOPED_STOCK_EXACT,YES,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,NEW_SOURCE_NOT_DEPLOYED,GPIO and outer sensor undo errors surfaced; snapshot preflight and readback verified in mocks; hardware and stage2 stream fence remain,NOT_CERTIFIED,YES,YES,MANUAL,NEW_SOURCE_NOT_DEPLOYED,PARTIAL,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:lens_switch->fh8626_dualsensor_select,GPIO and outer sensor undo errors surfaced; snapshot preflight and readback verified in mocks; hardware and stage2 stream fence remain
statistics_epoch_E2,SEE_SCOPED_STOCK_EXACT,YES,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,a7f208cd_SCENE_OBSERVATION_NOT_FULL_EPOCH_PROOF,Accepted-cycle counter independent of content hash; torn-snapshot rejection remains,NOT_CERTIFIED,YES,YES,YES,a7f208cd_SCENE_OBSERVATION_NOT_FULL_EPOCH_PROOF,BOUNDED,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:isp_control_once->fh_isp_runtime_accept_stats_epoch,Accepted-cycle counter independent of content hash; torn-snapshot rejection remains
automatic_ae,SEE_SCOPED_STOCK_EXACT,PARTIAL,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,a7f208cd_BRIGHTNESS_IMPROVED_WHITE_CLIPPING_REMAINS,One control slot/history; remaining state providers and init evidence,NOT_CERTIFIED,PARTIAL,YES,YES,a7f208cd_BRIGHTNESS_IMPROVED_WHITE_CLIPPING_REMAINS,PARTIAL,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:ae_runtime_hook->ae_stock_runtime_step,One control slot/history; remaining state providers and init evidence
awb_ccm_runtime,SEE_SCOPED_STOCK_EXACT,PARTIAL,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,a7f208cd_GREEN_HIGHLIGHTS_GONE_NEW_CCM_UNDEPLOYED,Shared dispatcher and startup wired; module/GOT/provider evidence and full scene validation remain,NOT_CERTIFIED,PARTIAL,YES,PROFILE_CONTROLLED,a7f208cd_GREEN_HIGHLIGHTS_GONE_NEW_CCM_UNDEPLOYED,PARTIAL,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:awb_runtime_hook->fh_stock_awb_dispatch,Shared dispatcher and startup wired; module/GOT/provider evidence and full scene validation remain
scene_failure_E4,SEE_SCOPED_STOCK_EXACT,PARTIAL,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,TEMP_HELPER_SUCCESS_PARTIAL_FAILURE_ROLLBACK_OPEN,Reverse-order command undo and unknown-state failsafe implemented; mechanical/profile hardware atomicity not proven,NOT_CERTIFIED,PARTIAL,YES,YES,TEMP_HELPER_SUCCESS_PARTIAL_FAILURE_ROLLBACK_OPEN,NO,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:scene_apply->set_named_profile,Reverse-order command undo and unknown-state failsafe implemented; mechanical/profile hardware atomicity not proven
iq_publication_E5,SEE_SCOPED_STOCK_EXACT,PARTIAL,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,CURRENT_SOURCE_TARGET_PENDING,Profile/MMIO publication is not atomic hardware rollback,NOT_CERTIFIED,PARTIAL,YES,PROFILE_CONTROLLED,CURRENT_SOURCE_TARGET_PENDING,PARTIAL,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:set_named_profile->load_named_profile,Profile/MMIO publication is not atomic hardware rollback
apc,SEE_SCOPED_STOCK_EXACT,YES,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,CURRENT_SOURCE_TARGET_PENDING,Selector rejection retained; whole stock image not certified,NOT_CERTIFIED,YES,YES,PROFILE_CONTROLLED,CURRENT_SOURCE_TARGET_PENDING,BOUNDED,ISP_STAGE1_20260905,isp/fh8626_isp_runtime.c:fh_isp_runtime_tick_with_control_hooks->fh_isp_runtime_apply_cdd6c,Selector rejection retained; whole stock image not certified
nr3d,SEE_SCOPED_STOCK_EXACT,PARTIAL,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,DEFAULT_OFF_NEW_LIFECYCLE_TARGET_PENDING,Owner off/fresh-epoch/pending/on fence; kernel reset equivalence unproved,NOT_CERTIFIED,PARTIAL,YES,NO_OPT_IN_REQUIRED,DEFAULT_OFF_NEW_LIFECYCLE_TARGET_PENDING,NO,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:nr3d_request->fh_nr3d_request,Owner off/fresh-epoch/pending/on fence; kernel reset equivalence unproved
dynamic_ltm,SEE_SCOPED_STOCK_EXACT,PARTIAL,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,CURRENT_SOURCE_TARGET_PENDING,Two summary calls and volatile sampling/RMW order restored; 3376 ARM polynomial vectors and32 full-state fixtures checked; D0B2C mode1 stale highbyte fixed; exhaustive numeric/live DMA epoch parity remains unproved,NOT_CERTIFIED,PARTIAL,YES,PROFILE_CONTROLLED,CURRENT_SOURCE_TARGET_PENDING,PARTIAL,ISP_STAGE1_20260905,isp/fh8626_isp_runtime.c:fh_isp_runtime_tick_with_control_hooks->fh_isp_runtime_apply_dynamic_ltm,Two summary calls and volatile sampling/RMW order restored; 3376 ARM polynomial vectors and32 full-state fixtures checked; D0B2C mode1 stale highbyte fixed; exhaustive numeric/live DMA epoch parity remains unproved
ltm_public_control,SEE_SCOPED_STOCK_EXACT,YES,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,HOST_RANDOM_ABI_TESTS_ONLY,80-byte API; immediate enable RMW is explicit owner policy,NOT_CERTIFIED,YES,YES,MANUAL,HOST_RANDOM_ABI_TESTS_ONLY,BOUNDED_API,ISP_STAGE1_20260905,isp/fh8626_isp_runtime.c:fh_isp_runtime_set_ltm_enabled->fh_isp_runtime_set_ltm_attr,80-byte API; immediate enable RMW is explicit owner policy
yc,SEE_SCOPED_STOCK_EXACT,YES,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,CURRENT_SOURCE_TARGET_PENDING,D1DB0 active body and coefficient binding implemented; old PARTIAL build label stale,NOT_CERTIFIED,YES,YES,PROFILE_CONTROLLED,CURRENT_SOURCE_TARGET_PENDING,BOUNDED_BODY,ISP_STAGE1_20260905,isp/fh8626_isp_runtime.c:fh_isp_runtime_tick_with_control_hooks->fh_isp_runtime_apply_d1db0_lut,D1DB0 active body and coefficient binding implemented; old PARTIAL build label stale
video_encoder_rc,SEE_SCOPED_STOCK_EXACT,PARTIAL,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,HISTORICAL_RC_READBACK_NOT_FULL_CONFIG_PARITY,Do not infer all encoder configuration parity; restart epoch is stage2,NOT_CERTIFIED,PARTIAL,YES,PROFILE_CONTROLLED,HISTORICAL_RC_READBACK_NOT_FULL_CONFIG_PARITY,PARTIAL,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:encoder_rc_commit->ioctl,Do not infer all encoder configuration parity; restart epoch is stage2
ae_antiflicker,SEE_SCOPED_STOCK_EXACT,YES,LAST_VERIFIED_20260905_677f821d_GEOMETRY_TMP_DEPLOYED,CURRENT_PIPELINE_50_60_AB_PENDING,Actuator arithmetic is not all-lighting flicker acceptance,NOT_CERTIFIED,YES,YES,PROFILE_CONTROLLED,CURRENT_PIPELINE_50_60_AB_PENDING,BOUNDED_ACTUATOR,ISP_STAGE1_20260905,media/fh8626_media_owner_v4_3_0.c:ae_runtime_hook->ae_stock_runtime_step,Actuator arithmetic is not all-lighting flicker acceptance
